,subject,ROI,dataset,avg_difference,embed_method,model_LogLikelihood,AIC
5,20,early_visual,forrest,0.042455025232747,ISOMAP,-5401.2192467002415,29230.438493400485
6,20,early_visual,forrest,0.04453033813110608,ISOMAP,-5445.165004116354,33784.330008232704
7,20,early_visual,forrest,0.048820193356227434,ISOMAP,-5422.191490614526,31242.38298122905
8,20,early_visual,forrest,0.05089606565115019,ISOMAP,-5398.034739720311,31194.069479440626
9,20,early_visual,forrest,0.0686296793758606,ISOMAP,-5363.841931044555,31531.68386208911
10,20,early_visual,forrest,0.04574787662141813,ISOMAP,-5397.619460520329,31599.238921040655
11,20,early_visual,forrest,0.049022834204187925,ISOMAP,-5434.097542536155,31672.195085072308
12,20,early_visual,forrest,0.06248969438246872,ISOMAP,-5393.691513018811,31185.383026037616
13,20,early_visual,forrest,0.060028151147494574,ISOMAP,-5371.485749793567,32370.971499587133
0,16,aud_early,sherlock,0.1975940094108624,TSNE,-2633.90658764922,5985.81317529844
1,16,aud_early,sherlock,0.09056882403322578,TSNE,-2809.336539805947,6336.673079611894
2,16,aud_early,sherlock,0.10711863043802464,TSNE,-2789.568298189868,6297.136596379735
3,16,aud_early,sherlock,0.10194602000481158,TSNE,-2786.0735375423683,6290.147075084737
4,16,aud_early,sherlock,0.11387939627250092,TSNE,-2798.3943736375973,6314.7887472751945
5,16,aud_early,sherlock,0.07542695027138184,TSNE,-2891.2007947458806,6500.401589491763
6,16,aud_early,sherlock,0.2569147977300355,TSNE,-2614.1019213413524,5946.203842682705
7,16,aud_early,sherlock,0.09658008941257376,TSNE,-2836.6304002917077,6317.260800583415
8,16,aud_early,sherlock,0.07256071105400426,TSNE,-2835.7402520342353,6467.4805040684705
9,16,aud_early,sherlock,0.10988897272319728,TSNE,-2803.166400988522,6484.332801977044
10,16,aud_early,sherlock,0.09296572954474963,TSNE,-2868.2204638677995,6532.440927735599
11,16,aud_early,sherlock,0.06548132822525145,TSNE,-2879.7225427197827,6403.445085439565
12,16,aud_early,sherlock,0.08058465243815252,TSNE,-2902.86705721883,6449.73411443766
13,16,aud_early,sherlock,0.12586295138711115,TSNE,-2667.05478591268,6052.109571825359
14,16,aud_early,sherlock,0.121739103913109,TSNE,-2768.0415880457094,6254.083176091419
15,16,aud_early,sherlock,0.11750744439592906,TSNE,-2808.4422627853096,6260.884525570619
0,20,high_Visual,forrest,0.09354812296006684,PHATE_TIME,4483.086880874664,829.8262382506728
1,20,high_Visual,forrest,0.13764694809732275,PHATE_TIME,5429.130708427574,-1614.261416855148
2,20,high_Visual,forrest,0.06972105498649571,PHATE_TIME,5268.871660685273,708.2566786294537
3,20,high_Visual,forrest,0.34952368793047056,PHATE_TIME,3204.690564984945,4836.618870030111
4,20,high_Visual,forrest,0.0858825169399683,PHATE_TIME,4422.708580215219,398.5828395695625
5,20,high_Visual,forrest,0.0785233641760479,PHATE_TIME,5139.831071363629,-201.66214272725844
6,20,high_Visual,forrest,0.12616726977433998,PHATE_TIME,4828.394946694504,-138.78989338900828
7,20,high_Visual,forrest,0.07866606520423837,PHATE_TIME,3619.8850091581317,3124.229981683737
8,20,high_Visual,forrest,0.10002399610479704,PHATE_TIME,4221.7201360092795,2210.559727981443
9,20,high_Visual,forrest,0.07538744590126878,PHATE_TIME,5166.8896722475565,-537.7793444951149
10,20,high_Visual,forrest,0.19654461166349035,PHATE_TIME,4554.6933737676845,-135.38674753536907
11,20,high_Visual,forrest,0.07933093155029478,PHATE_TIME,5028.84182594311,306.3163481137799
12,20,high_Visual,forrest,0.25351156706832106,PHATE_TIME,3025.2326985956547,3467.5346028086897
13,20,high_Visual,forrest,0.12023865333312,PHATE_TIME,4549.7154951361845,1264.5690097276326
0,16,pmc_nn,sherlock,0.5373933600646971,PHATE_TIME,355.8532258103352,636.2935483793298
1,16,pmc_nn,sherlock,0.24961437024267266,PHATE_TIME,1040.043279330432,-1026.0865586608645
2,16,pmc_nn,sherlock,0.4525777725444181,PHATE_TIME,876.7143739839723,-789.4287479679443
3,16,pmc_nn,sherlock,0.3015865103025641,PHATE_TIME,949.3891539209926,-652.7783078419852
4,16,pmc_nn,sherlock,0.4786766606517246,PHATE_TIME,553.5463308406547,40.90733831869056
5,16,pmc_nn,sherlock,0.21270904468603008,PHATE_TIME,1083.1099045655724,-712.2198091311448
6,16,pmc_nn,sherlock,0.7816237084361611,PHATE_TIME,-313.030881596972,1774.061763193944
7,16,pmc_nn,sherlock,0.2884190161946962,PHATE_TIME,1538.5035502567448,-1729.0071005134894
8,16,pmc_nn,sherlock,0.34864956533564234,PHATE_TIME,1624.0090947658898,-2100.01818953178
9,16,pmc_nn,sherlock,0.5139976589443664,PHATE_TIME,1097.679560655836,-741.3591213116721
